model,target,mode,n_users,n_positive_users,aggregation,precision,recall,f1,auroc,auprc
mentalbert_anxiety,anxiety,masked,3516,258,mean,0.18758815232722145,0.5155038759689923,0.2750775594622544,0.7162357655098244,0.18516654172024302
mentalbert_anxiety,anxiety,with,3943,348,mean,0.2762691853600944,0.6724137931034483,0.3916317991631799,0.8394041852509073,0.3692655598466247
multitask_anxiety_health_dep_suic,anxiety,masked,3516,258,mean,0.1767741935483871,0.5310077519379846,0.26524685382381413,0.7008437192170971,0.1707693760513374
multitask_anxiety_health_dep_suic,anxiety,with,3943,348,mean,0.2668213457076566,0.6609195402298851,0.38016528925619836,0.8277156970888687,0.32995457150349916
tfidf_logreg,anxiety,masked,3516,258,mean,0.1906906906906907,0.49224806201550386,0.2748917748917749,0.7359641859513374,0.17570435610957363
tfidf_logreg,anxiety,with,3943,348,mean,0.3170731707317073,0.5229885057471264,0.3947939262472885,0.8512733202244497,0.3481351752735958
multitask_anxiety_health_dep_suic,health_anxiety,masked,3516,141,mean,0.09878419452887538,0.46099290780141844,0.16270337922403003,0.7111804570527975,0.09835738305347501
multitask_anxiety_health_dep_suic,health_anxiety,with,3943,186,mean,0.12131519274376418,0.5752688172043011,0.20037453183520598,0.7594447354186166,0.126580961894389
multitask_anxiety_health_dep_suic,depression,masked,3516,513,mean,0.22484599589322382,0.4269005847953216,0.2945527908540686,0.5613788420805965,0.22954090978392416
multitask_anxiety_health_dep_suic,depression,with,3943,807,mean,0.48778625954198473,0.79182156133829,0.6036844591402929,0.8629154496371038,0.6815870491038187
