target,feature,mean_abs_shap,direction
anxiety,f_anx_term_rate,6.741273151745709,+
anxiety,f_anx_phrase_count,0.6111640522032976,+
anxiety,f_n_tokens,0.23917787185435493,+
anxiety,f_first_sing_rate,0.2227334193554246,+
anxiety,f_flesch,0.20309128472480611,-
anxiety,f_avg_word_len,0.19323547523993512,-
anxiety,f_sent_neg,0.19232605645736353,+
anxiety,f_third_rate,0.18620418862137011,-
anxiety,f_second_rate,0.15672810241904275,+
anxiety,f_body_part_rate,0.15163672436591272,+
anxiety,f_n_chars,0.15011752322886,+
anxiety,f_sent_neu,0.13480447515413227,-
anxiety,f_question_rate,0.12298339816678101,+
anxiety,f_gunning_fog,0.11967408859327466,-
anxiety,f_sent_compound,0.11458789100936792,+
anxiety,f_avg_sent_len,0.10057223033081208,-
anxiety,f_sent_pos,0.09000790989721402,-
anxiety,f_uncertainty_rate,0.07898370611038869,+
anxiety,f_n_sents,0.07131862084139796,+
anxiety,f_certainty_rate,0.0508666046492308,-
anxiety,f_health_anx_term_rate,0.04725453498175678,+
anxiety,f_first_plur_rate,0.03202383697872089,-
anxiety,f_dep_term_rate,0.030618639985612997,-
anxiety,f_suic_term_rate,0.020826583130906025,-
anxiety,f_reassurance_count,0.001177490805685011,-
anxiety,f_health_anx_phrase_count,0.0008859528684351972,-
depression,f_dep_term_rate,7.318400357082098,+
depression,f_n_chars,0.7054639403530697,+
depression,f_n_tokens,0.5516013658618225,+
depression,f_first_sing_rate,0.4646788108739614,+
depression,f_sent_compound,0.4546090008866219,-
depression,f_sent_neg,0.433650094922826,+
depression,f_sent_neu,0.4296470826989292,-
depression,f_avg_sent_len,0.39926935885558,+
depression,f_flesch,0.3482003819591482,+
depression,f_avg_word_len,0.3437579343249284,+
depression,f_sent_pos,0.3090574741460344,-
depression,f_gunning_fog,0.2904953656651099,+
depression,f_second_rate,0.2763261185125399,+
depression,f_n_sents,0.227325425177165,+
depression,f_third_rate,0.19867370320668368,-
depression,f_certainty_rate,0.19185060481624047,-
depression,f_anx_term_rate,0.167998475690804,-
depression,f_uncertainty_rate,0.13641876664765004,-
depression,f_question_rate,0.126815769673889,-
depression,f_body_part_rate,0.11154015476271283,-
depression,f_first_plur_rate,0.08832894293519349,-
depression,f_suic_term_rate,0.058267965753970204,+
depression,f_anx_phrase_count,0.02212766947989197,-
depression,f_health_anx_term_rate,0.02211693776861648,-
depression,f_health_anx_phrase_count,0.005067671892335057,+
depression,f_reassurance_count,0.0023831482228197274,-
health_anxiety,f_health_anx_term_rate,5.792428268591563,+
health_anxiety,f_anx_term_rate,1.2891214777663893,+
health_anxiety,f_first_sing_rate,0.7236788054315548,+
health_anxiety,f_sent_neu,0.6243913039930048,-
health_anxiety,f_n_tokens,0.5852403006919291,+
health_anxiety,f_flesch,0.4896951265055298,+
health_anxiety,f_n_chars,0.4767249940632367,+
health_anxiety,f_avg_sent_len,0.47019405409598647,+
health_anxiety,f_avg_word_len,0.46780175895107823,-
health_anxiety,f_sent_pos,0.46718550552712984,-
health_anxiety,f_body_part_rate,0.4562520764545091,+
health_anxiety,f_sent_compound,0.4461683142818316,+
health_anxiety,f_gunning_fog,0.38336172133142826,+
health_anxiety,f_sent_neg,0.3685183132805784,-
health_anxiety,f_third_rate,0.3680968486548615,-
health_anxiety,f_second_rate,0.3323490574511476,-
health_anxiety,f_uncertainty_rate,0.21872996343280343,-
health_anxiety,f_certainty_rate,0.2122376362491438,-
health_anxiety,f_n_sents,0.20422717453657727,+
health_anxiety,f_anx_phrase_count,0.11201700547180371,+
health_anxiety,f_question_rate,0.10944985992138632,-
health_anxiety,f_first_plur_rate,0.08423208272410557,+
health_anxiety,f_dep_term_rate,0.08141084911378373,-
health_anxiety,f_health_anx_phrase_count,0.05233502381543319,+
health_anxiety,f_reassurance_count,0.015021312204344819,-
health_anxiety,f_suic_term_rate,0.000706820399652012,-
