target,model,auroc,auroc_std,ap
anxiety,mean_score (baseline),0.7349,0.0,0.1754
anxiety,xgboost,0.8333,0.004,0.3155
anxiety,hist_gbm,0.8237,0.0049,0.3132
anxiety,random_forest,0.8419,0.0023,0.3186
anxiety,extra_trees,0.8376,0.0023,0.2969
anxiety,elasticnet_lr,0.7772,0.0072,0.2282
anxiety,linear_svm,0.7651,0.0059,0.2152
anxiety,stacking,0.8381,0.004,0.3199
health_anxiety,mean_score (baseline),0.7986,0.0,0.1608
health_anxiety,xgboost,0.8739,0.0046,0.2365
health_anxiety,hist_gbm,0.8718,0.0045,0.2259
health_anxiety,random_forest,0.8859,0.0011,0.2581
health_anxiety,extra_trees,0.8907,0.0025,0.2753
health_anxiety,elasticnet_lr,0.8122,0.0113,0.2038
health_anxiety,linear_svm,0.8007,0.0092,0.1866
health_anxiety,stacking,0.8767,0.0039,0.2548
depression,mean_score (baseline),0.614,0.0,0.2337
depression,xgboost,0.8218,0.0048,0.5665
depression,hist_gbm,0.8199,0.0063,0.5721
depression,random_forest,0.8241,0.0034,0.5734
depression,extra_trees,0.8186,0.0032,0.5349
depression,elasticnet_lr,0.7697,0.0064,0.4267
depression,linear_svm,0.7647,0.0086,0.4134
depression,stacking,0.8273,0.0051,0.5788
